Infec_mean,Infec_lb,Infec_ub,date,state,cases,deaths,population
7.36390569753511,4.3220669388244,10.7557137527066,2020-03-29,RO,6,0,658513
9.01915962948856,5.44985371189682,13.059461986651,2020-03-30,RO,8,1,710288
10.9396294589753,6.69786856323711,15.6927233279759,2020-03-31,RO,9,1,710288
13.1645304421788,8.35611134410294,18.6742015040454,2020-04-01,RO,9,1,710288
15.7457816585211,10.3620417896576,22.0953669169175,2020-04-02,RO,10,1,710288
18.7363473616071,12.4602881713273,26.0256480028711,2020-04-03,RO,10,1,710288
22.2132154175498,14.6957928191189,30.396649896116,2020-04-04,RO,11,1,710288
26.2361769635966,17.253541113328,35.6070700862514,2020-04-05,RO,14,1,865200
30.9098042994603,20.5290317867376,41.4059962290906,2020-04-06,RO,18,1,865200
36.3322453575738,24.4529002669665,47.902250433986,2020-04-07,RO,23,1,865200
42.6196250531864,30.5655222873207,54.7495475292543,2020-04-08,RO,26,1,901235
49.8891685622585,36.2091165970798,63.7737266037123,2020-04-09,RO,28,2,901235
58.2802462614324,44.380711249813,73.1428215653723,2020-04-10,RO,32,2,1009098
67.9119848270882,53.7928488179261,84.2251986560894,2020-04-11,RO,34,2,1009098
78.860594051319,62.0875471808355,96.2638928312754,2020-04-12,RO,42,2,1009098
91.0841357243998,74.535695241267,110.128532049357,2020-04-13,RO,42,2,1009098
104.47284293648,87.8491044450916,124.565865523454,2020-04-14,RO,69,2,1009098
118.829239636784,99.8652734519012,138.646473240431,2020-04-15,RO,73,2,1009098
134.083525117323,112.854930092902,153.780677489783,2020-04-16,RO,92,3,1048752
150.378670434714,127.312179194164,172.699165669242,2020-04-17,RO,110,3,1048752
167.863353053128,142.360698349779,191.537301584612,2020-04-18,RO,128,4,1070180
186.667577372472,158.759076697456,210.649933011578,2020-04-19,RO,160,4,1070180
206.914972748836,176.622795014783,231.251790814298,2020-04-20,RO,199,4,1070180
228.729870993861,196.077359393258,255.046131741842,2020-04-21,RO,223,5,1106840
252.24111984215,217.260051554301,280.554870313192,2020-04-22,RO,223,5,1106840
277.584794821479,240.320589027945,307.905112686909,2020-04-23,RO,250,5,1118307
304.906077596214,265.476681391061,337.230871325807,2020-04-24,RO,290,6,1118307
