date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-03-30,MT,18,3526220,25.50301046216657,,,
2020-03-31,MT,25,3526220,30.21480854501427,,,
2020-04-01,MT,28,3526220,35.47344181453704,,,
2020-04-02,MT,41,3526220,41.33929454058218,,,
2020-04-03,MT,44,3526220,47.881845821909685,,,
2020-04-04,MT,60,3526220,55.17458126442074,,,
2020-04-05,MT,60,3526220,63.30306502671205,,,
2020-04-06,MT,76,3526220,71.65419946088699,,,
2020-04-07,MT,78,3526220,79.76771912348686,,,
2020-04-08,MT,90,3526220,87.78470439515036,,,
2020-04-09,MT,108,3526220,95.78196260031086,,,
2020-04-10,MT,112,3526220,103.80791953444164,,,
2020-04-11,MT,121,3526220,111.89055940956496,,,
2020-04-12,MT,123,3526220,120.04593674127932,,,
2020-04-13,MT,134,3526220,128.28354977454737,,,
2020-04-14,MT,138,3526220,136.61162132824757,,,
2020-04-15,MT,151,3526220,145.03361584881833,,,
2020-04-16,MT,156,3526220,153.5529644992351,,,
2020-04-17,MT,162,3526220,162.17202888579826,,,
2020-04-18,MT,171,3526220,170.8925280706856,,,
2020-04-19,MT,174,3526220,179.71595708072059,,,
2020-04-20,MT,181,3526220,188.64372096915275,,,
2020-04-21,MT,181,3526220,197.67718609765114,,,
2020-04-22,MT,205,3526220,206.8176650719464,,,
2020-04-23,MT,220,3526220,216.06676510304925,,,
2020-04-24,MT,241,3526220,225.42578202653928,578994.0,1.6793446897124409,0.981563641334345
2020-04-25,MT,246,3526220,234.8950605407837,578994.0,1.1868923419443544,0.9772666115466794
2020-04-26,MT,249,3526220,244.47655640467883,578994.0,0.5136965963791447,0.9737590203886828
2020-04-27,MT,256,3526220,254.62786593738997,578994.0,0.3135624381819377,0.9708945810145586
2020-04-28,MT,263,3526220,266.22787911479253,578994.0,0.4338468064460315,0.9685539587083092
2020-04-29,MT,292,3526220,279.1871521905322,578994.0,0.7456670077335342,0.9666397420931994
2020-04-30,MT,302,3526220,293.48881380231336,578994.0,0.8818632618658393,0.9650726100571356
2020-05-01,MT,320,3526220,309.1764499644699,578994.0,0.963158763132119,0.9637871971256744
2020-05-02,MT,333,3526220,326.33523647473737,578994.0,0.7207454545697216,0.9627305417575166
2020-05-03,MT,337,3526220,345.07497443815294,578994.0,0.6685883054629497,0.9892456584039716
2020-05-04,MT,344,3526220,365.52604497367963,578994.0,0.9562246769913364,1.1781950001616626
2020-05-05,MT,366,3526220,387.83649593570806,578994.0,1.2557960400865036,1.3734730820204868
2020-05-06,MT,385,3526220,412.1704399185834,578994.0,1.8446426094551718,1.556593931203489
2020-05-07,MT,419,3526220,438.70855151258087,578994.0,2.49606225934991,1.7323944376273217
2020-05-08,MT,464,3526220,467.64884885043983,578994.0,2.10641803979182,1.900154942953136
2020-05-09,MT,502,3526220,499.2093698281376,578994.0,2.029191463121093,2.056639819266071
2020-05-10,MT,519,3526220,533.6245738402934,578994.0,2.5665615696824133,2.1983277495972504
2020-05-11,MT,545,3526220,571.1528438409263,578994.0,2.644215983751736,2.322707944777015
2020-05-12,MT,604,3526220,612.0712764411634,578994.0,2.7807806425020614,2.4285676210384284
2020-05-13,MT,673,3526220,656.6910432820107,578994.0,3.0567995702760844,2.516205657721271
2020-05-14,MT,734,3526220,705.3356126269573,578994.0,2.4962370320968885,2.586867593913796
2020-05-15,MT,792,3526220,758.3709435425066,578994.0,1.9620276017411784,2.642670182526281
2020-05-16,MT,857,3526220,816.1905014168349,578994.0,2.1947422025086576,2.685904738658922
2020-05-17,MT,901,3526220,879.2269095975328,578994.0,1.9682218567613616,2.718830672809796
2020-05-18,MT,941,3526220,947.9476997618773,578994.0,2.188611414527591,2.7433924646823296
2020-05-19,MT,1005,3526220,1022.8639682053197,578994.0,3.1034483778166497,2.7611919186058693
2020-05-20,MT,1090,3526220,1104.5298539779408,,,
2020-05-21,MT,1187,3526220,1193.5469513489807,,,
2020-05-22,MT,1271,3526220,1290.5736604339345,,,
2020-03-14,MS,2,2809394,0.0,,,
2020-03-15,MS,2,2809394,1.1397847407063642,,,
2020-03-16,MS,4,2809394,2.6820901879352053,,,
2020-03-17,MS,6,2809394,4.4908370423871435,,,
2020-03-18,MS,7,2809394,6.4908595413736245,,,
2020-03-19,MS,9,2809394,8.64246769136289,,,
2020-03-20,MS,12,2809394,10.919940460808663,,,
2020-03-21,MS,16,2809394,13.31140269456024,,,
2020-03-22,MS,21,2809394,15.812106892006295,,,
2020-03-23,MS,21,2809394,18.420469166324747,,,
2020-03-24,MS,24,2809394,21.13707224013465,,,
2020-03-25,MS,24,2809394,23.96430721924266,,,
2020-03-26,MS,25,2809394,26.905171740032763,,,
2020-03-27,MS,28,2809394,29.96363883358278,,,
2020-03-28,MS,31,2809394,33.14379960555833,,,
2020-03-29,MS,36,2809394,36.45023846794507,,,
2020-03-30,MS,44,2809394,39.888230613729,,,
2020-03-31,MS,48,2809394,43.464566142892046,,,
2020-04-01,MS,51,2809394,47.18112841981967,,,
